company_id,company_name,industry_type,employees_count,linkedin_followers
C001,Capital Placement Services Gurgaon ., Human Resources Services,1,14205
C002,Zoomcar," Technology, Information and Internet",201,46150
C003,Fynd (Shopsense Retail Technologies Ltd.), Internet Marketplace Platforms,501,37670
C004,Bosch Global Software Technologies, IT Services and IT Consulting,10001,794635
C005,Allscripts India, IT Services and IT Consulting,1001,10394
C006,Energy Exemplar, Software Development,201,11329
C007,Target, Retail,10001,1559630
C008,Providence India, Hospitals and Health Care,501,12998
C009,Luxoft, IT Services and IT Consulting,10001,769465
C010,Mr. Cooper, Financial Services,5001,93961
C011,T & A Solutions, Human Resources Services,1,16353
C012,Bosch India, Motor Vehicle Manufacturing,10001,752227
C013,Sun Life, Financial Services,10001,267089
C014,Jina AI, Software Development,11,7704
C015,Embibe, E-Learning Providers,501,66173
C016,CSB Bank Limited, Banking,1001,36599
C017,The Luxury Closet, Retail Apparel and Fashion,1,918
C018,Onsite, Construction,11,4812
C019,Macquarie Group, Financial Services,10001,460506
C020,TMF Group, Financial Services,5001,228952
C021,Moody's Corporation, Financial Services,10001,142587
C022,Skan.ai, Software Development,51,16880
C023,Mahindra Group, Executive Offices,10001,1000812
C024,Prodapt, Media and Telecommunications,5001,45752
C025,Microchip Technology Inc., Semiconductor Manufacturing,10001,271480
C026,Zeeco India, Oil and Gas,201,1381
C027,DNEG," Movies, Videos, and Sound",1001,188123
C028,Water Management & Plumbing Skill Council, Education Administration Programs,11,1444
C029,Plivo," Technology, Information and Internet",201,63211
C030,Rentokil Initial, Environmental Services,10001,189007
C031,Blox.xyz, Real Estate,11,3223
C032,Indicia Worldwide, Advertising Services,501,25547
C033,HuntingCube Recruitment Solutions, Human Resources Services,201,59991
C034,Kennametal, Machinery Manufacturing,10001,120310
C035,American Express, Financial Services,10001,1705716
C036,Morningstar, Financial Services,5001,212128
C037,Marine Debt Management, Maritime Transportation,1,7749
C038,ISS | Institutional Shareholder Services, Financial Services,1001,56839
C039,Paytm, Financial Services,10001,1047249
C040,DBRS Morningstar, Financial Services,501,15379
C041,Cyient, IT Services and IT Consulting,10001,265380
C042,Bridgestone Asia Pacific, Motor Vehicle Manufacturing,10001,29306
C043,Cojective Labs, IT Services and IT Consulting,11,94
C044,SLK, IT Services and IT Consulting,5001,61867
C045,Symphony Talent, Software Development,201,6763
C046,"QUEST Engineering, LLC", Industrial Machinery Manufacturing,1,4515
C047,Mehta Tubes Limited, Wholesale Building Materials,201,575
C048,Zendrive," Technology, Information and Internet",51,15939
C049,"RealPage, Inc.", Software Development,5001,184299
C050,Synchrony, Financial Services,10001,106047
C051,Studio Graphene, IT Services and IT Consulting,51,8519
C052,TransUnion, IT Services and IT Consulting,5001,278267
C053,TutorBin, E-Learning Providers,51,14031
C054,Franklin Templeton India, Financial Services,201,173076
C055,LiquiLoans, Financial Services,201,10538
C056,Prismforce, Software Development,11,1860
C057,Micro Focus, IT Services and IT Consulting,10001,271033
C058,Westin Hotels & Resorts, Hospitality,5001,196881
C059,Happay, Software Development,201,28973
C060,Western Union, Financial Services,5001,235276
C061,Ivy, Software Development,1001,39820
C062,Digitap.ai, Financial Services,11,844
C063,Rapido, IT Services and IT Consulting,1001,163373
C064,Golden Opportunities, Staffing and Recruiting,51,80931
C065,Indium Software, IT Services and IT Consulting,1001,62335
C066,TIGI HR ®, Staffing and Recruiting,51,56653
C067,Katomaran Technologies Private Limited, IT Services and IT Consulting,51,2595
C068,AQR Capital Management, Investment Management,501,74748
C069,NI (National Instruments)," Appliances, Electrical, and Electronics Manufacturing",5001,213756
C070,Air Products India, Chemical Manufacturing,1001,30239
C071,UBS, Financial Services,10001,1207217
C072,AKWEL, Motor Vehicle Parts Manufacturing,10001,41669
C073,Mobile Programming LLC, IT Services and IT Consulting,1001,194180
C074,Koch Business Solutions India, Oil and Gas,1001,25718
C075,Tredence Inc., Business Consulting and Services,1001,102810
C076,Faurecia, Motor Vehicle Manufacturing,10001,598315
C077,HPL ADDITIVES LIMITED, Chemical Manufacturing,501,3279
C078,Rattle, Software Development,11,5768
C079,Optum, Hospitals and Health Care,10001,518784
C080,Lennox International, Manufacturing,10001,78523
C081,SKILLETY, Staffing and Recruiting,51,4770
C082,Dolat Capital, Financial Services,201,12524
C083,Navi, Financial Services,501,165552
C084,NICE Actimize, Software Development,501,27886
C085,VIZON, Computers and Electronics Manufacturing,1,152
C086,R2R Consultants LLP, Staffing and Recruiting,11,4738
C087,Credit Suisse, Banking,10001,1189587
C088,Valorem Reply, IT Services and IT Consulting,201,12112
C089,Codemonk, IT Services and IT Consulting,11,3002
C090,i4 HR Consulting : Reimagining HR Blueprints, Human Resources Services,11,7979
C091,Medtronic, Medical Equipment Manufacturing,10001,1419818
C092,grofers," Technology, Information and Internet",1001,264941
C093,Eli Lilly and Company, Pharmaceutical Manufacturing,10001,1348884
C094,Ness Digital Engineering, IT Services and IT Consulting,1001,136116
C095,mPokket, Financial Services,1001,15791
C096,DBS Bank, Banking,10001,763941
C097,Saarthee, Business Consulting and Services,51,4984
C098,Duncan & Ross Consulting, IT Services and IT Consulting,201,44124
C099,OnePlus, Computers and Electronics Manufacturing,1001,384775
C100,Morgan Advanced Materials," Glass, Ceramics and Concrete Manufacturing",5001,43432
C101,Pivotree, IT Services and IT Consulting,501,11806
