job_id,company_id,designation,location,state ,company_name,details_id
J001,C001,Data Analyst For 5 Day Working USA MNC In Gurgaon Near Metro,Gurgaon, Haryana,Capital Placement Services Gurgaon .,D001
J002,C002,Zoomcar - Program Manager - Process Excellence,Bengaluru, Karnataka,Zoomcar,D002
J003,C003,Data Analyst (OpEx Engineering),Mumbai, Maharashtra,Fynd (Shopsense Retail Technologies Ltd.),D003
J004,C004,UCC Quality Monitoring Developer/Analyst,Bengaluru, Karnataka,Bosch Global Software Technologies,D004
J005,C005,Associate Systems Analyst,Pune, Maharashtra,Allscripts India,D005
J006,C006,Associate Data Analyst_Energy Domain( Pune),Pune, Maharashtra,Energy Exemplar,D006
J007,C008,Lead Data Analyst,Hyderabad, Telangana,Providence India,D007
J008,C010,Data Science,Chennai, Tamil Nadu,Mr. Cooper,D008
J009,C011,Shift in-Charge,Chandigarh, Chandigarh,T & A Solutions,D009
J010,C013,Analyst-Application Support Analyst,Gurgaon, Haryana,Sun Life,D010
J011,C014,Open Source Evangelist - Remote,Bengaluru South, Karnataka,Jina AI,D011
J012,C015,Data Engineering,Bengaluru, Karnataka,Embibe,D012
J013,C016,Agile architect (architecture and engineering),Mumbai, Maharashtra,CSB Bank Limited,D013
J014,C017,Seekers Post for___ Business Analyst,Gurgaon, Haryana,The Luxury Closet,D014
J015,C018,Civil Engineering Intern Internship in Delhi at Onsite,Delhi, Delhi,Onsite,D015
J016,C019,Senior Associate - Interest Rate Risk in Banking Books,Gurgaon, Haryana,Macquarie Group,D016
J017,C020,"Data Analyst (SQL, PowerBI)",Gurgaon, Haryana,TMF Group,D017
J018,C021,Associate Analyst 2/CSR,Bengaluru, Karnataka,Moody's Corporation,D018
J019,C022,Data Analyst,Bengaluru, Karnataka,Skan.ai,D019
J020,C023,GAT -EPT,Pune, Maharashtra,Mahindra Group,D020
J021,C021,Data Operations Associate,Gurgaon, Haryana,Moody's Corporation,D021
J022,C024,Python Developer,Kolkata, West Bengal,Prodapt,D022
J023,C025,Principal Engineer-Verification,Chennai, Tamil Nadu,Microchip Technology Inc.,D023
J024,C026,Instrumentation and Control Engineering Internship in Mumbai at Zeeco India,Mumbai, Maharashtra,Zeeco India,D024
J025,C027,System Administrator,Bengaluru, Karnataka,DNEG,D025
J026,C028,"Civil Engineering Internship in Delhi, Noida at Water Management And Plumbing Skill Council",Delhi, Delhi,Water Management & Plumbing Skill Council,D026
J027,C029,Business Analyst - API,,,Plivo,D027
J028,C030,Python Developer | Python and D-Jango | Exp 1Year | Mumbai,Mumbai, Maharashtra,Rentokil Initial,D028
J029,C007,Engineer - Storage,Bengaluru, Karnataka,Target,D029
J030,C031,Data Scientist (Python Experience Is Mandatory),Delhi, Delhi,Blox.xyz,D030
J031,C032,Reporting Analyst,Mumbai, Maharashtra,Indicia Worldwide,D031
J032,C033,Data Scientist,Bengaluru, Karnataka,HuntingCube Recruitment Solutions,D032
J033,C034,Sr. Analyst Manufacturing Data Analytics-India,Bengaluru, Karnataka,Kennametal,D033
J034,C004,Jenkin + Automated testcases,Bengaluru, Karnataka,Bosch Global Software Technologies,D034
J035,C036,"Associate Quantitative Analyst, Index Management & Analytics",Mumbai, Maharashtra,Morningstar,D035
J036,C023,Sr. Lead Engineer - Advanced Engineering,Chennai, Tamil Nadu,Mahindra Group,D036
J037,C037,CAD Designer,Mumbai, Maharashtra,Marine Debt Management,D037
J038,C038,Net Zero - Methodology expert,Mumbai, Maharashtra,ISS | Institutional Shareholder Services,D038
J039,C023,GAT - Control,Pune, Maharashtra,Mahindra Group,D039
J040,C039,Machine Learning - Senior Software Engineer,Noida, Uttar Pradesh,Paytm,D040
J041,C025,Principal Engineer - Validation,Chennai, Tamil Nadu,Microchip Technology Inc.,D041
J042,C040,"Intern, Credit Rating",Mumbai, Maharashtra,DBRS Morningstar,D042
J043,C041,CNC (Machining Component Process Planning) Engineer,Pune, Maharashtra,Cyient,D043
J044,C042,Quality Assurance Engineer (Quality System),Anupgarh, Rajasthan,Bridgestone Asia Pacific,D044
J045,C019,Associate - Technical Analyst - Power BI,Gurgaon, Haryana,Macquarie Group,D045
J046,C043,Python Developer,Ahmedabad, Gujarat,Cojective Labs,D046
J047,C044,Apply posting for Senior Engineer - Software,Bengaluru, Karnataka,SLK,D047
J048,C023,AM/DM-IE- Plant Engineering,Pune, Maharashtra,Mahindra Group,D048
J049,C045,Associate Full Stack Developer,Bengaluru, Karnataka,Symphony Talent,D049
J050,C046,Process Engineer,Bengaluru, Karnataka,"QUEST Engineering, LLC",D050
J051,C047,Metallurgical Engineering Internship in Umargam at Mehta Tubes Limited,Umargam, Gujarat,Mehta Tubes Limited,D051
J052,C098,BUSINESS DEVELOPMENT MANAGER,Pune, Maharashtra,Duncan & Ross Consulting,D052
J053,C048,Software Development Engineer in Test - I,Bengaluru, Karnataka,Zendrive,D053
J054,C049,Developer Analyst I,Hyderabad, Telangana,"RealPage, Inc.",D054
J055,C050,Senior Analyst (L 08),Hyderabad, Telangana,Synchrony,D055
J056,C011,Operations enginer,Raigarh, Chhattisgarh,T & A Solutions,D056
J057,C007,Engineer - Enterprise Storage,Bengaluru, Karnataka,Target,D057
J058,C020,"Data Analyst (SQL, PowerBI)",Bengaluru, Karnataka,TMF Group,D058
J059,C044,Apply posting for Analyst and Designer,Bengaluru, Karnataka,SLK,D059
J060,C051,Studio Graphene - Senior Quality Analyst - Manual Testing,Gurugram, Haryana,Studio Graphene,D060
J061,C052,Python Developer,Chennai, Tamil Nadu,TransUnion,D061
J062,C037,Chemical Engineer,Ahmedabad, Gujarat,Marine Debt Management,D062
J063,C054,Business Data Analyst,Hyderabad, Telangana,Franklin Templeton India,D063
J064,C055,Liquiloans - Data Scientist,Mumbai, Maharashtra,LiquiLoans,D064
J065,C013,Specialist - Analytics,Gurgaon, Haryana,Sun Life,D065
J066,C057,Software Engineering (Applications),Bengaluru, Karnataka,Micro Focus,D066
J067,C058,Engineering Associate,Hyderabad, Telangana,Westin Hotels & Resorts,D067
J068,C059,Data Scientist,Bengaluru, Karnataka,Happay,D068
J069,C060,Data Analytics – Customer Analytics,Pune, Maharashtra,Western Union,D069
J070,C061,Senior Analyst - BI,Hyderabad, Telangana,Ivy,D070
J071,C062,Python Backend Developer,Bengaluru, Karnataka,Digitap.ai,D071
J072,C027,Software Developer - Imaging,Bengaluru, Karnataka,DNEG,D072
J073,C004,2022_HMI_QT_L51_Developers_COB_SDS,Coimbatore North, Tamil Nadu,Bosch Global Software Technologies,D073
J074,C064,SME/TL- SQL Scripting,Hyderabad, Telangana,Golden Opportunities,D074
J075,C020,"Data Analyst (SQL, PowerBI)",Pune/Pimpri-Chinchwad Area,,TMF Group,D075
J076,#N/A,Data Visualization Engineer 2,Chennai, Tamil Nadu,Comcast,D076
J077,C065,Data Engineer,Bengaluru, Karnataka,Indium Software,D077
J078,C066,Backend Developer,Mumbai, Maharashtra,TIGI HR ®,D078
